n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
87 0.87 0.01418483956588451 0.0004258917216968924 0.011036256053358014 0.00019200129599666549 0.01600054000302578 0.04872115035877189 -0.03660971139330155
88 0.88 0.01434480054207754 0.00042463169602956007 0.011161317625551836 0.0001915960456454265 0.016182978441337093 0.04927908481208548 -0.037029570842989065
89 0.89 0.014504660533377678 0.00042337485186360696 0.011286319817375372 0.00019119152921573241 0.01636536708304484 0.04983694754065232 -0.03744939738195302
90 0.9 0.014664418598367757 0.0004221211817986181 0.011411262044749973 0.00019078774547768096 0.016547705398163248 0.05039473770902536 -0.03786919060789441
91 0.91 0.014824073799863557 0.0004208706784505771 0.011536143725507937 0.00019038469320334543 0.01672999285748908 0.050952454481300036 -0.03828895011786078
92 0.92 0.01498362520490254 0.00041962333445182923 0.011660964279390292 0.00018998237116677158 0.016912228932605078 0.05151009702111453 -0.03870867550824403
93 0.93 0.01514307188473013 0.00041837914245104784 0.011785723128040347 0.00018958077814397426 0.01709441309587645 0.05206766449165645 -0.039128366374781884
94 0.9400000000000001 0.01530241291478901 0.000417138095113199 0.011910419695003956 0.00018917991291293498 0.017276544820450185 0.052625156055660816 -0.03954802231255557
95 0.9500000000000001 0.015461647374704512 0.0004159001851195059 0.012035053405721453 0.00018877977425359822 0.01745862358025449 0.05318257087540479 -0.03996764291599049
96 0.96 0.015620774348273914 0.0004146654051674144 0.012159623687523095 0.0001883803609478683 0.0176406488500008 0.0537399081127134 -0.04038722777885517
97 0.97 0.015779792923454106 0.0004134337479705583 0.012284129969630034 0.00018798167177960703 0.01782262010517846 0.05429716692895853 -0.04080677649425986
98 0.98 0.015938702192347054 0.0004122052062587239 0.012408571683145825 0.00018758370553463 0.018004536822056938 0.05485434648506138 -0.0412262886546577
99 0.99 0.016097501251190582 0.00041097977277781614 0.012532948261052744 0.00018718646100070356 0.018186398477686938 0.0554114459414875 -0.04164576385184264
100 1.0 0.016256189200344273 0.0004097574402898234 0.01265725913821139 0.00018678993696754216 0.018368204549892714 0.05596846445824766 -0.04206520167694963
101 1.01 0.016414765144276977 0.00040853820157278305 0.012781503751351148 0.0001863941322268047 0.018549954517280365 0.0565254011949019 -0.042484601720452875
102 1.02 0.016573228191555434 0.00040732204942074706 0.012905681539073087 0.0001859990455720925 0.018731647859230538 0.05708225531056066 -0.042903963572167594
103 1.03 0.016731577454831448 0.00040610897664374707 0.013029791941837732 0.00018560467579894455 0.01891328405590012 0.05763902596387954 -0.04332328682124717
104 1.04 0.01688981205083101 0.0004048989760677615 0.01315383440197012 0.00018521102170483664 0.0190948625882226 0.05819571231305681 -0.04374257105618329
105 1.05 0.017047931100340086 0.0004036920405346791 0.013277808363647725 0.00018481808208917642 0.01927638293790454 0.058752313515849364 -0.04416181586480615
106 1.06 0.017205933728194345 0.0004024881629022668 0.013401713272902314 0.00018442585575330136 0.01945784458742736 0.05930882872955301 -0.04458102083428277
107 1.07 0.017363819063265895 0.00040128733604413415 0.013525548577613372 0.00018403434150047565 0.01963924702004577 0.059865257111016146 -0.04500018555111647
108 1.08 0.017521586238452236 0.0004000895528496996 0.013649313727503894 0.000183643538135887 0.019820589719786674 0.06042159781663836 -0.045419309601147456
109 1.09 0.017679234390663157 0.0003988948062241578 0.013773008174137617 0.00018325344446664372 0.020001872171450052 0.06097785000235939 -0.04583839256955084
110 1.1 0.017836762660809635 0.0003977030890884433 0.013896631370915846 0.0001828640593017714 0.02018309386060549 0.061534012823679374 -0.04625743404083729
111 1.11 0.017994170193792514 0.0003965143943791988 0.014020182773069774 0.00018247538145221034 0.02036425427359445 0.06209008543563632 -0.04667643359885103
112 1.12 0.018151456138487787 0.00039532871504874013 0.014143661837662337 0.00018208740973081267 0.020545352897527597 0.06264606699282443 -0.04709539082677122
113 1.1300000000000001 0.018308619647738056 0.00039414604406502355 0.014267068023578404 0.00018170014295233855 0.020726389220284774 0.0632019566493876 -0.04751430530710865
114 1.1400000000000001 0.01846565987833848 0.00039296637441161073 0.014390400791526169 0.0001813135799334541 0.02090736273051419 0.0637577535590178 -0.0479331766217084
115 1.1500000000000001 0.018622575991026402 0.00039178969908763725 0.014513659604029942 0.00018092771949272787 0.02108827291763285 0.06431345687495355 -0.04835200435174651
